Core_Formula,Shell_Formula,Consensus_Quality,XGB_Quality,KNN_Quality,Verification_Agreement_%,Total_Confinement_eV,Core_Eg_nano_3nm_eV,Shell_Eg_bulk_eV,Total_Confinement_eV.1,Dielectric_Contrast_Ratio,Defect_Gradient_eV,Confinement_Asymmetry,Core_a_A,Shell_a_A,Lattice_Mismatch_pct,Synthesizability_Index,Synthesis_Regime,Core_Ehull_eV_atom,Shell_Ehull_eV_atom,Max_Pair_Ehull_eV_atom,Thermodynamically_Stable,Design_Thickness_nm,Design_Trap_Depth_eV,Calculated_Eps_r,Effective_Barrier_eV,Retention_Time_Years,J_OFF_2V_A_m2,J_ON_2V_A_m2,I_OFF_2V_A,I_ON_2V_A,Simulated_ON_OFF_Ratio_2V
Ba2ZnS3,Ba2Mn(BO2)6,0.536307242555562,0.49590924,0.630569249534419,72.84583673527388,1.9616,2.222661685936353,3.9824,1.9616,1.446353174333333,-1.0418702813300509,6.811999952210468,4.7166486394751175,4.493944738389183,4.721655525112806,0.3914783350408599,Coherent Epitaxy (Ideal),0.0037727745656497,0.035,0.035,True,2.0,0.4,7.305,1.991,1.6618823675891287e-14,10000000.0,10000000.0,1e-07,1e-07,1.0
Ba2ZnS3,Ba2Mn(BO2)6,0.536307242555562,0.49590924,0.630569249534419,72.84583673527388,1.9616,2.222661685936353,3.9824,1.9616,1.446353174333333,-1.0418702813300509,6.811999952210468,4.7166486394751175,4.493944738389183,4.721655525112806,0.3914783350408599,Coherent Epitaxy (Ideal),0.0037727745656497,0.035,0.035,True,3.0,0.2,7.305,1.991,7.256850170752504e-18,42797.56801541696,709464.2346820836,4.279756801541696e-10,7.094642346820836e-09,16.57720911680106
Ba2ZnS3,Ba2Mn(BO2)6,0.536307242555562,0.49590924,0.630569249534419,72.84583673527388,1.9616,2.222661685936353,3.9824,1.9616,1.446353174333333,-1.0418702813300509,6.811999952210468,4.7166486394751175,4.493944738389183,4.721655525112806,0.3914783350408599,Coherent Epitaxy (Ideal),0.0037727745656497,0.035,0.035,True,3.0,0.3,7.305,1.991,3.472755583540211e-16,42797.56801541696,709464.2346820836,4.279756801541696e-10,7.094642346820836e-09,16.57720911680106
Ba2ZnS3,Ba2Mn(BO2)6,0.536307242555562,0.49590924,0.630569249534419,72.84583673527388,1.9616,2.222661685936353,3.9824,1.9616,1.446353174333333,-1.0418702813300509,6.811999952210468,4.7166486394751175,4.493944738389183,4.721655525112806,0.3914783350408599,Coherent Epitaxy (Ideal),0.0037727745656497,0.035,0.035,True,3.0,0.4,7.305,1.991,1.6618823675891287e-14,42797.56801541696,709464.2346820836,4.279756801541696e-10,7.094642346820836e-09,16.57720911680106
Ba2ZnS3,Ba2Mn(BO2)6,0.536307242555562,0.49590924,0.630569249534419,72.84583673527388,1.9616,2.222661685936353,3.9824,1.9616,1.446353174333333,-1.0418702813300509,6.811999952210468,4.7166486394751175,4.493944738389183,4.721655525112806,0.3914783350408599,Coherent Epitaxy (Ideal),0.0037727745656497,0.035,0.035,True,4.0,0.2,7.305,1.991,7.256850170752504e-18,112.08688115368824,500112.08688115363,1.1208688115368824e-12,5.001120868811536e-09,4461.8253423915285
Ba2ZnS3,Ba2Mn(BO2)6,0.536307242555562,0.49590924,0.630569249534419,72.84583673527388,1.9616,2.222661685936353,3.9824,1.9616,1.446353174333333,-1.0418702813300509,6.811999952210468,4.7166486394751175,4.493944738389183,4.721655525112806,0.3914783350408599,Coherent Epitaxy (Ideal),0.0037727745656497,0.035,0.035,True,4.0,0.3,7.305,1.991,3.472755583540211e-16,112.08688115368824,500112.08688115363,1.1208688115368824e-12,5.001120868811536e-09,4461.8253423915285
Ba2ZnS3,Ba2Mn(BO2)6,0.536307242555562,0.49590924,0.630569249534419,72.84583673527388,1.9616,2.222661685936353,3.9824,1.9616,1.446353174333333,-1.0418702813300509,6.811999952210468,4.7166486394751175,4.493944738389183,4.721655525112806,0.3914783350408599,Coherent Epitaxy (Ideal),0.0037727745656497,0.035,0.035,True,4.0,0.4,7.305,1.991,1.6618823675891287e-14,112.08688115368824,500112.08688115363,1.1208688115368824e-12,5.001120868811536e-09,4461.8253423915285
Ba2ZnS3,Ba2Mn(BO2)6,0.536307242555562,0.49590924,0.630569249534419,72.84583673527388,1.9616,2.222661685936353,3.9824,1.9616,1.446353174333333,-1.0418702813300509,6.811999952210468,4.7166486394751175,4.493944738389183,4.721655525112806,0.3914783350408599,Coherent Epitaxy (Ideal),0.0037727745656497,0.035,0.035,True,5.0,0.2,7.305,1.991,7.256850170752504e-18,0.3418416783242284,400000.3418416783,3.418416783242284e-15,4.000003418416783e-09,1170133.3313203775
Ba2ZnS3,Ba2Mn(BO2)6,0.536307242555562,0.49590924,0.630569249534419,72.84583673527388,1.9616,2.222661685936353,3.9824,1.9616,1.446353174333333,-1.0418702813300509,6.811999952210468,4.7166486394751175,4.493944738389183,4.721655525112806,0.3914783350408599,Coherent Epitaxy (Ideal),0.0037727745656497,0.035,0.035,True,5.0,0.3,7.305,1.991,3.472755583540211e-16,0.3418416783242284,400000.3418416783,3.418416783242284e-15,4.000003418416783e-09,1170133.3313203775
Ba2ZnS3,Ba2Mn(BO2)6,0.536307242555562,0.49590924,0.630569249534419,72.84583673527388,1.9616,2.222661685936353,3.9824,1.9616,1.446353174333333,-1.0418702813300509,6.811999952210468,4.7166486394751175,4.493944738389183,4.721655525112806,0.3914783350408599,Coherent Epitaxy (Ideal),0.0037727745656497,0.035,0.035,True,5.0,0.4,7.305,1.991,1.6618823675891287e-14,0.3418416783242284,400000.3418416783,3.418416783242284e-15,4.000003418416783e-09,1170133.3313203775
Ba2ZnS3,Ba2Mn(BO2)6,0.536307242555562,0.49590924,0.630569249534419,72.84583673527388,1.9616,2.222661685936353,3.9824,1.9616,1.446353174333333,-1.0418702813300509,6.811999952210468,4.7166486394751175,4.493944738389183,4.721655525112806,0.3914783350408599,Coherent Epitaxy (Ideal),0.0037727745656497,0.035,0.035,True,6.0,0.2,7.305,1.991,7.256850170752504e-18,0.0011540751066857378,333333.3344874084,1.1540751066857378e-17,3.333333344874084e-09,288831578.2537516
Ba2ZnS3,Ba2Mn(BO2)6,0.536307242555562,0.49590924,0.630569249534419,72.84583673527388,1.9616,2.222661685936353,3.9824,1.9616,1.446353174333333,-1.0418702813300509,6.811999952210468,4.7166486394751175,4.493944738389183,4.721655525112806,0.3914783350408599,Coherent Epitaxy (Ideal),0.0037727745656497,0.035,0.035,True,6.0,0.3,7.305,1.991,3.472755583540211e-16,0.0011540751066857378,333333.3344874084,1.1540751066857378e-17,3.333333344874084e-09,288831578.2537516
Ba2ZnS3,Ba2Mn(BO2)6,0.536307242555562,0.49590924,0.630569249534419,72.84583673527388,1.9616,2.222661685936353,3.9824,1.9616,1.446353174333333,-1.0418702813300509,6.811999952210468,4.7166486394751175,4.493944738389183,4.721655525112806,0.3914783350408599,Coherent Epitaxy (Ideal),0.0037727745656497,0.035,0.035,True,6.0,0.4,7.305,1.991,1.6618823675891287e-14,0.0011540751066857378,333333.3344874084,1.1540751066857378e-17,3.333333344874084e-09,288831578.2537516
