Core_Formula,Shell_Formula,Consensus_Quality,XGB_Quality,ET_Quality,KNN_Quality,MLP_Quality,Verification_Agreement_%,Core_Eg_nano_3nm_eV,Shell_Eg_bulk_eV,Total_Confinement_eV,Dielectric_Contrast_Ratio,Defect_Gradient_eV,Confinement_Asymmetry
Ba3Zr6BeCl18,Ba3Tb(BO2)9,0.6789902970562183,0.7257039,0.5008757338039289,0.7602279028297225,0.7386470540819554,84.59970573930012,1.2822169977268187,5.1728,3.8906,15.94269133886722,-0.844198488521505,-0.2754845011052279
Ba3Ta2Se9,Ba2HoCl7,0.6779515405826347,0.7143591,0.5264667073867919,0.7465042530953414,0.7350416175748515,86.81629284740049,1.5010593186159011,5.4559,3.9548,17.055464030752333,-1.290667286552828,-0.1683523819156467
Ba3Ta2Se9,Ba2DyCl7,0.6770154607219017,0.7174416,0.5208372580021104,0.7444586171283358,0.7340492966052585,86.46412978718769,1.5010593186159011,5.4194,3.9183,16.854206837626574,-1.2940080062194934,-0.1792358931169128
Ba2Zr6BCl17,Ba2YC2(O2F)3,0.6766497141365981,0.7147368,0.5148730096412911,0.759707333716402,0.7291605113949244,85.80201923778785,1.3409169977268192,5.263999999999999,3.9231,16.447548766982095,-0.8702404223672167,0.148275598378833
Ba3ThSe7,Ba2HoCl7,0.6765644471106996,0.708877,0.5253383810877581,0.7559860472256051,0.7296284295585275,86.64371493717105,1.178416997726819,5.4559,4.2775,17.526026148831015,-0.9288281791903364,0.0178375219170075
Ba3Zr6BeCl18,Ba3B6O11F2,0.6761408006954758,0.7128007,0.5167150328664242,0.7415372933354041,0.7458717560769571,86.05989095819244,1.2822169977268187,5.252710526336427,3.9705,16.384847293223228,-0.9204275245454538,0.1338622339755698
Ba3In2O6,Ba2YC2(O2F)3,0.6758263329827917,0.71192753,0.5245220680679781,0.7362150697366832,0.7413908121791329,86.79461873855492,1.107916997726819,5.263999999999999,4.1561,16.447548766982095,-0.6931767447943726,-0.0166742859892687
Ba2FeMoO6,Al2Pb3F12,0.6746266920506714,0.7136787,0.5055525322392423,0.7536963371468788,0.7385586870831284,85.17283895408353,1.1591169977268192,5.2252,4.0661000000000005,16.232185176768496,-0.7445529756764704,-0.2691276653304149
AcFeO3,Al11TlO17,0.6743027065157435,0.7013375,0.5282758034914211,0.745949346158689,0.7378788083193706,86.9882288217072,1.263816997726819,5.323600000000001,4.0598,16.780212773097965,-0.4435167744568944,-0.0685748066407211
Ba2SnSe5,Ba2HoCl7,0.6740652036354862,0.71943194,0.5263867198029342,0.7355002193976513,0.717836584235386,87.26148314150394,1.3426169977268192,5.4559,4.1133,17.526026148831015,-1.3552795838476568,0.0130552111443366
Ba2InBiSe5,Ba2CaP4(H3O8)2,0.6736207099185618,0.71752334,0.5262388615429008,0.7330507179484027,0.7215883861950441,87.27460563159953,1.316416997726819,5.4657,4.1493,17.581490207109955,-1.0917260000439286,0.0944014653074012
Ba2InCuO4,Ba2CaP4(H3O8)2,0.6727468874667291,0.71569145,0.5228049411242287,0.741143833766714,0.7166243944601529,86.95602468331865,1.3662169977268188,5.4657,4.0995,17.581490207109955,-0.3366020990311975,-0.1816075131113551
Ba3Zr6BeCl18,Ba2P2O7,0.6724043205643273,0.70936215,0.5100181423333834,0.7434631395843602,0.7396520092518595,85.71378035643892,1.2822169977268187,5.1483,3.8661,15.807777426493834,-0.9361856890259732,-0.2426476293939629
Ba2Mn(AsO4)2,Ba2YC2(O2F)3,0.6721828528281034,0.7144754,0.5178142104597131,0.7300570737047846,0.7332575785013037,86.58609424752365,1.498186441755564,5.263999999999999,3.7658,16.080209212820318,-0.7375411424943157,-0.0629348345637049
Ba2InBiSe5,Ba2DyCl7,0.6721823495240139,0.7218678,0.5223873833974468,0.7325208154511608,0.7121381129486504,87.08613907359718,1.316416997726819,5.4194,4.103,17.31921624773407,-1.4002941823460644,-0.2201803558371923
Ba3TaAs3O,Ba2DyCl7,0.6721337555293471,0.71312827,0.5281088092098493,0.7326720615248298,0.7198862194506734,87.49643559750417,1.3373169977268191,5.4194,4.0821,17.31921624773407,-1.3320896224999998,0.057396928051738
Ba2Mn(AsO4)2,Ba(PO3)2,0.6717763268976069,0.7129281,0.5192536774179277,0.7420300069730635,0.7201603718833083,86.67597843382649,1.498186441755564,5.4349,3.9367,17.018079909020226,-0.5234260808276465,0.0641400157492315
Ba2Mn(AsO4)2,AlPO4,0.6698235598852245,0.7061538,0.5219547651080424,0.7322047844229063,0.7287003910757058,87.00654628928879,1.498186441755564,5.6178,4.1196,18.03944940586021,-0.6696392058474885,-0.1353529468880474
Ba3TaAs3O,Ba2HoCl7,0.6692554024158414,0.7122069,0.5323853423703518,0.727147997974951,0.7072853056351815,88.10794970980584,1.3373169977268191,5.4559,4.1186,17.526026148831015,-1.3287489028333344,0.0657504977419511
Ba3In2O6,Ba2P2O7,0.6691034270491595,0.7057236,0.5204575051432273,0.7379387723585343,0.7219901950850902,86.90137563864464,1.107916997726819,5.1483,4.0404,15.807777426493834,-0.7212130241774881,-0.1501831501831501
Ba2InBiSe5,Ba2HoCl7,0.6687650639287559,0.714389,0.5191883182814527,0.7299495132908804,0.7147096574158013,86.99979584453253,1.316416997726819,5.4559,4.1395,17.526026148831015,-1.396953462679399,-0.2094214277086604
Ba3In2O6,Ba3Tb(BO2)9,0.6674435783173277,0.70911527,0.5179729473171908,0.728851170061095,0.7199488204791834,86.92635104386626,1.107916997726819,5.1728,4.0649,15.94269133886722,-0.6292258236730199,-0.1821693030578858
Ba3Cr2O8,Ba2DyCl7,0.6663577948669546,0.71872693,0.5186672900549657,0.7177213169556337,0.7079613971549448,87.22780093662004,1.4032169977268192,5.4194,4.0162,17.31921624773407,-0.2408217567820498,-0.0904337433394751
