Core_Formula,Shell_Formula,Core_Eg_nano_3nm_eV,Shell_Eg_bulk_eV,dEc_eV,dEv_eV,Total_Confinement_eV,Dielectric_Contrast_Ratio,Defect_Gradient_eV,Confinement_Asymmetry,Effective_System_Gap_eV,Cluster
Ba3(TaS4)2,Ba3Al2F12,0.7451999999999996,7.847399999999999,3.3588,3.7434,7.1022,1.0,-1.2298188004711024,0.8972589364591184,7.847399999999999,1
Ba4P3,Ba3Al2F12,0.7464,7.847399999999999,3.7519,3.3491,7.101,1.0,-1.2298188004711024,1.1202707831146328,7.847399999999999,1
Ba4Bi2O,BH3OF4,0.5712999999999999,7.668699999999999,0.4205999999999998,6.6768,7.0974,1.0,-1.2298188004711024,0.0629942393071172,7.668699999999999,1
Ba3(SnAs2)2,Ba3Al2F12,0.7525,7.847399999999999,3.3404,3.7545,7.0949,1.0,-1.2298188004711024,0.8897054495390998,7.847399999999999,1
Ba2AlCu2F11,BH3OF4,0.5741999999999999,7.668699999999999,2.5722,4.5223,7.0945,1.0,-1.2298188004711024,0.5687812465379902,7.668699999999999,1
Ba(GdTe2)2,Ba3Al2F12,0.7584412560855691,7.847399999999999,2.866399941074381,4.22255880284005,7.08895874391443,1.0,-1.2298188004711024,0.6788299218749893,7.847399999999999,1
Ba2Tl2O5,Ba3Al2F12,0.7601999999999998,7.847399999999999,3.5526,3.5346,7.0872,1.0,-1.2298188004711024,1.005092229646288,7.847399999999999,1
Ba2InSbSe5,Ba3Al2F12,0.7680000000000002,7.847399999999999,3.401,3.6784,7.0794,1.0,-1.2298188004711024,0.9245865255038804,7.847399999999999,1
Ba2Cu2O5,Ba3Al2F12,0.7701,7.847399999999999,5.3515,1.7258,7.077299999999999,1.0,-1.2298188004711024,3.1008789541783788,7.847399999999999,1
Ba2UFeO6,AlF3,0.5156000000000001,7.5923,0.5661999999999994,6.5105,7.0767,1.0,-1.2298188004711024,0.0869671934617626,7.5923,1
Ba(PdS2)2,Ba3Al2F12,0.7713999999999999,7.847399999999999,3.3344,3.7416,7.0760000000000005,1.0,-1.2298188004711024,0.8911693149536789,7.847399999999999,1
Ba2YCoO5,Ba3Al2F12,0.7717999999999998,7.847399999999999,3.5077,3.5679000000000003,7.0756,1.0,-1.2298188004711024,0.9831270542540276,7.847399999999999,1
Ba3InAs3,AlF3,0.5167000000000002,7.5923,3.192,3.8836,7.0756,1.0,-1.2298188004711024,0.8219175965811112,7.5923,1
Ba2AsAu,AlF3,0.5211000000000001,7.5923,3.1242,3.947,7.071199999999999,1.0,-1.2298188004711024,0.7915376763269125,7.5923,1
Ba2InSbO6,AlF3,0.5239999999999996,7.5923,2.0358,5.032500000000001,7.068300000000001,1.0,-1.2298188004711024,0.4045304710321964,7.5923,1
Ba(GeP)2,AlF3,0.5244,7.5923,1.7454,5.3225,7.0679,1.0,-1.2298188004711024,0.3279285433671126,7.5923,1
Ba3GaP3,BH3OF4,0.601,7.668699999999999,0.3906999999999998,6.677,7.067699999999999,1.0,-1.2298188004711024,0.0585142940670519,7.668699999999999,1
Ba14AlSb11,AlF3,0.5247999999999999,7.5923,2.5976,4.4699,7.0675,1.0,-1.2298188004711024,0.5811314389289606,7.5923,1
AgBi3S5,AlF3,0.5262000000000002,7.5923,1.5751999999999995,5.4909,7.0661,1.0,-1.2298188004711024,0.2868745948979957,7.5923,1
Ba(GaTe2)2,AlF3,0.5273999999999996,7.5923,3.246,3.8189,7.0649,1.0,-1.2298188004711024,0.8499827568193048,7.5923,1
Ba(TmTe2)2,Ba3Al2F12,0.7841,7.847399999999999,2.5839,4.4794,7.0633,1.0,-1.2298188004711024,0.5768405195248203,7.847399999999999,1
Ba(ErTe2)2,Ba3Al2F12,0.7848999999999995,7.847399999999999,2.5994,4.4631,7.0625,1.0,-1.2298188004711024,0.5824201603324685,7.847399999999999,1
Ba(HoTe2)2,Ba3Al2F12,0.7850000000000001,7.847399999999999,2.6399,4.422499999999999,7.062399999999999,1.0,-1.2298188004711024,0.5969246813058946,7.847399999999999,1
Ba(TbTe2)2,Ba3Al2F12,0.7858999999999998,7.847399999999999,2.6672,4.394299999999999,7.0615,1.0,-1.2298188004711024,0.6069679796627495,7.847399999999999,1
Ba(DyTe2)2,Ba3Al2F12,0.7862,7.847399999999999,2.6461,4.4151,7.0612,1.0,-1.2298188004711024,0.5993294377637114,7.847399999999999,1
Ba3NaRuO6,AlF3,0.5312000000000001,7.5923,3.2389,3.8222,7.0611,1.0,-1.2298188004711024,0.8473913328995518,7.5923,1
Ag3Ge5P6,AlF3,0.5335999999999999,7.5923,1.0381999999999998,6.0205,7.0587,1.0,-1.2298188004711024,0.1724441205142229,7.5923,1
Ag8GeS6,BH3OF4,0.6102000000000003,7.668699999999999,0.6507999999999998,6.4077,7.0585,1.0,-1.2298188004711024,0.101565288392826,7.668699999999999,1
Ag8SnS6,AlF3,0.5350999999999999,7.5923,3.2396,3.8176,7.0572,1.0,-1.2298188004711024,0.8485957542446159,7.5923,1
AlFePO5,AlF3,0.54,7.5923,3.5738,3.4785,7.0523,1.0,-1.2298188004711024,1.027396571109222,7.5923,1
Ba3UFe2O9,Ba3Al2F12,0.7951999999999995,7.847399999999999,1.8139000000000003,5.2383,7.0522,1.0,-1.2298188004711024,0.3462763976335076,7.847399999999999,1
Ba2U2O7,AlF3,0.5402000000000005,7.5923,0.7600999999999996,6.292,7.052099999999999,1.0,-1.2298188004711024,0.1208041766045491,7.5923,1
Ba(SmTe2)2,Ba3Al2F12,0.7957000000000001,7.847399999999999,2.8309,4.2208,7.051699999999999,1.0,-1.2298188004711024,0.670702077638818,7.847399999999999,1
As(IF3)2,AlF3,0.5409,7.5923,5.991099999999999,1.0603,7.051399999999999,1.0,-1.2298188004711024,5.650376638331945,7.5923,1
AgAuO2,BH3OF4,0.6175000000000002,7.668699999999999,1.3375,5.713699999999999,7.0512,1.0,-1.2298188004711024,0.2340864528962926,7.668699999999999,1
