Core_Formula,Shell_Formula,Consensus_Quality,XGB_Quality,ET_Quality,Verification_Agreement_%,Core_Eg_nano_3nm_eV,Shell_Eg_bulk_eV,Total_Confinement_eV,Dielectric_Contrast_Ratio,Defect_Gradient_eV,Confinement_Asymmetry
Ba2Ge2Se5,Ba2HoCl7,0.5925978599550396,0.6477402,0.5098843272929563,76.18297531317728,1.5466208727092796,5.4559,3.9092,15.870599506934466,-1.48050820453125,0.0831883761383403
Ba2Ge2Se5,BHS3O11,0.5922446779404951,0.6721321,0.4724135080960574,65.10081036252575,1.5466208727092796,5.696299999999999,4.1496,17.11977262988077,-0.3975375462760409,-0.3400327742433006
Ba4P2O,Al2H16S3O20,0.5921368917651402,0.65731424,0.49437083821183125,71.70347941961694,1.2965169977268192,5.6055,4.309,18.38077615890793,-0.225293079718766,-0.2719424460431655
Ba(GdTe2)2,Ba3ZnB5PO14,0.5917151712700293,0.6589433,0.4908729700556806,70.76570745065754,1.013858253812388,4.8405000000000005,3.8267,15.63042719367385,-1.2078139171329336,-0.2582643008336164
Ba2FeMoO6,AcCl3,0.5915068474155616,0.6645025,0.48201332160382243,68.16630416982271,1.1591169977268192,5.0865,3.9274,15.469499303872531,-0.4395382226249995,-0.3206701634669246
Ba2Ni(PO4)2,Ba2DyCl7,0.5914765990088903,0.64748704,0.5074608565148022,75.75194730140633,1.1930169977268188,5.4194,4.2264,17.31921624773407,0.0475348348937743,-0.2249195532841188
Ba(DySe2)2,Al(PO3)3,0.5913832843326514,0.65798277,0.4914840459880694,71.03026919738144,1.6309643547940598,5.8176,4.1867,15.646173559446137,-0.6012010550526559,-0.2291781116392386
Ba2Zr6BCl17,Ba2Ca(BO2)6,0.5912659583608872,0.6508429,0.5019004936319011,74.15861820008418,1.3409169977268192,5.0129,3.672,19.213913209575576,-0.7891321334386441,-0.0627995642701525
Ag2P2PdO7,Ba2DyCl7,0.5912097043671788,0.6655465,0.47970450095300393,67.54563331682206,1.4222169977268189,5.4194,3.9972,17.31921624773407,-1.0846529211150788,0.3084659261483037
Ba3(TaS4)2,Ba3B6O11F2,0.5909618495043268,0.64349276,0.5121654416462159,77.27229095299629,1.000616997726819,5.252710526336427,4.2521,16.384847293223228,-1.3646187390582838,0.1462571435290797
Ba4Li(BiO4)3,Ba3Tb(BO2)9,0.5907948323407268,0.6441504,0.5107614418661833,76.90058542076301,0.8215169977268192,5.1728,4.3513,15.94269133886722,-0.934997682854838,0.0583503780479396
Ba2V3HO9,Ba2YC2(O2F)3,0.5907843947565822,0.6439839,0.5109850913674305,76.96928487073227,0.9943169977268193,5.263999999999999,4.2697,16.447548766982095,-0.4778460485595235,0.1566152188678361
Ba2Tl2O5,Ba2Ca(BO2)6,0.5905536307923788,0.6481621,0.5041408275645957,75.0028760295399,1.0156169977268188,5.0129,3.9973,19.213913209575576,-1.1492170569179887,-0.1800965651814975
Ba3PuO6,Ba3Si2(B3O8)2,0.5905373071965532,0.6451936,0.508552858068783,76.31356169555713,1.546818929946938,5.4031,3.8562,15.595128169790517,-0.1552237958657416,-0.0816866345106581
Ba2YCoO5,Al2Pb3F12,0.5904988728689202,0.6438553,0.510464256685736,76.88837214933653,1.0272169977268188,5.2252,4.198,16.232185176768496,-0.4370016681209145,0.1815626488804193
Ba3Zr6BeCl18,Ba2Li(BO2)5,0.5903148224229213,0.65272516,0.49669925626978184,72.85147215822401,1.2822169977268187,4.951700000000001,3.6695,14.739986635745453,-0.7454381796759266,-0.0869600763046736
Ba2Na2U(S2O)2,Ba2Ca(BO2)6,0.5902974726113336,0.6552859,0.4928148094198744,71.69741559364893,1.5081917121269697,5.0129,3.5047,18.48523195574016,-0.7505421131907752,0.0377493080720176
Ba2Zr6BCl17,Ba2B11H7O22,0.590174349609188,0.6522804,0.4970152737279032,72.98082270743119,1.3409169977268192,5.6652,4.3243,18.725422882466763,-0.2457277792620562,-0.2593483338343778
Ba2V3HO9,Ba4Bi3F17,0.5900895991422287,0.6454659,0.5070250725988427,75.9753716299838,0.9943169977268193,4.9991,4.0048,14.995201535508638,-0.7859303441249947,-0.0769576508190171
Ba3NaRuO6,Ba2P2O7,0.590014461624361,0.6417402,0.51242583480412,77.59172183641077,0.7866169977268193,5.1483,4.3617,15.807777426493834,-0.7776909148096713,0.0128161038127336
AgHg2PO4,B5H4NO8,0.5899366307981004,0.64656514,0.5049938382524228,75.41223614218558,1.4446169977268193,5.7298,4.2852,19.100007640003057,-0.6631778820701055,0.0792495099411928
Ba2InSbO6,Ba3B6O11F2,0.5899137882895031,0.6448023,0.5075810175405837,76.18478921265238,0.7794169977268187,5.252710526336427,4.4733,16.384847293223228,-0.671612860878787,-0.1984888113920372
Ba2V3HO9,Ba2DyCl7,0.5898813068941607,0.64047617,0.5139889717289244,78.08730793028475,0.9943169977268193,5.4194,4.4251000000000005,17.31921624773407,-0.1531915110833317,-0.1470475243497322
AgAuCl4,B5H12NO12,0.5897972604333919,0.6472397,0.5036335489897831,75.0439697752543,1.096016997726819,5.5022,4.4062,17.789162841996657,-1.0576938270833345,0.1884617130407153
