Material_Pair,Design_Thickness_nm,Design_Trap_Depth_eV,Voltage_Applied_V,Voltage_Effective_V,J_OFF_A_m2,J_ON_A_m2,I_OFF_A,I_ON_A
Candidate_0,4.0,1.0,-2.4,-2.4,-255538.53885506853,-255539.4472120474,-2.5553853885506854e-09,-2.5553944721204743e-09
Candidate_0,4.0,1.0,-2.35,-2.35,-181650.86473714313,-181651.547300276,-1.8165086473714313e-09,-1.81651547300276e-09
Candidate_0,4.0,1.0,-2.3,-2.3,-127318.59906312823,-127319.11027710122,-1.2731859906312823e-09,-1.2731911027710122e-09
Candidate_0,4.0,1.0,-2.25,-2.25,-87893.59429655013,-87893.97587799969,-8.789359429655013e-10,-8.789397587799969e-10
Candidate_0,4.0,1.0,-2.2,-2.2,-59687.59173012862,-59687.87555119921,-5.968759173012862e-10,-5.968787555119922e-10
Candidate_0,4.0,1.0,-2.15,-2.15,-39810.20035693558,-39810.41069602087,-3.981020035693558e-10,-3.9810410696020866e-10
Candidate_0,4.0,1.0,-2.1,-2.1,-26026.551496107433,-26026.70679025498,-2.6026551496107433e-10,-2.602670679025498e-10
Candidate_0,4.0,1.0,-2.05,-2.05,-16633.693979682634,-16633.808185476133,-1.6633693979682633e-10,-1.6633808185476134e-10
Candidate_0,4.0,1.0,-2.0,-2.0,-10354.570730752708,-10354.654378328656,-1.0354570730752708e-10,-1.0354654378328657e-10
Candidate_0,4.0,1.0,-1.95,-1.95,-6248.152221321463,-6248.213228467042,-6.248152221321463e-11,-6.248213228467042e-11
Candidate_0,4.0,1.0,-1.9,-1.9,-3633.9238702334774,-3633.9681693861867,-3.633923870233477e-11,-3.633968169386187e-11
Candidate_0,4.0,1.0,-1.85,-1.85,-2028.4426723266292,-2028.4746920520404,-2.0284426723266293e-11,-2.0284746920520403e-11
Candidate_0,4.0,1.0,-1.8,-1.8,-1091.6400275488281,-1091.6630611426501,-1.091640027548828e-11,-1.0916630611426501e-11
Candidate_0,4.0,1.0,-1.75,-1.75,-582.4999803658372,-582.5164671497378,-5.8249998036583725e-12,-5.825164671497378e-12
Candidate_0,4.0,1.0,-1.7,-1.7,-327.86848747200224,-327.88022675782923,-3.2786848747200223e-12,-3.2788022675782922e-12
Candidate_0,4.0,1.0,-1.65,-1.65,-207.5891965958082,-207.59750988018882,-2.075891965958082e-12,-2.075975098801888e-12
Candidate_0,4.0,1.0,-1.6,-1.6,-148.39174574177042,-148.39759922140564,-1.4839174574177041e-12,-1.4839759922140565e-12
Candidate_0,4.0,1.0,-1.55,-1.55,-113.85638051462031,-113.8604772882615,-1.1385638051462031e-12,-1.138604772882615e-12
Candidate_0,4.0,1.0,-1.5,-1.5,-89.52024200330568,-89.52309119419198,-8.952024200330568e-13,-8.952309119419198e-13
