Material_Pair,Shell_Eg_bulk_eV,Total_Confinement_eV,Barrier_Height_eV,Effective_Mass_Ratio,Calculated_Eps_r,Design_Thickness_nm,Design_Trap_Depth_eV,Retention_Time_Years,Volatile_Selector_Candidate,Quasi_NonVolatile_Candidate,NonVolatile_Memory_Candidate,Read_Voltage_V,J_OFF_Read_A_m2,J_ON_Read_A_m2,I_OFF_Read_A,I_ON_Read_A,Simulated_ON_OFF_Ratio
Candidate_0,3.4372,1.4163999999999994,1.7186,0.3,8.091,5.5,1.2,0.45709742447694557,False,False,False,1.0,0.000395263967320186,0.0003952653619745583,3.95263967320186e-18,3.952653619745583e-18,1.0000035284126245
Candidate_0,3.4372,1.4163999999999994,1.7186,0.3,8.091,5.5,1.4,1046.7932121159727,False,False,False,1.0,0.000395263967320186,0.00039526396792918204,3.95263967320186e-18,3.9526396792918205e-18,1.0000000015407324
Candidate_0,3.4372,1.4163999999999994,1.7186,0.3,8.091,5.5,1.6,1974.0982883137592,False,False,False,1.0,0.000395263967320186,0.0003952639673204519,3.95263967320186e-18,3.952639673204519e-18,1.0000000000006728
Candidate_0,3.4372,1.4163999999999994,1.7186,0.3,8.091,6.0,0.8,8.715745234967825e-08,True,False,False,1.0,1.4997863513433446e-05,0.0037224383342944318,1.4997863513433445e-19,3.722438334294432e-17,248.19790705257978
Candidate_0,3.4372,1.4163999999999994,1.7186,0.3,8.091,6.0,1.0,0.00019959821390235478,False,False,False,1.0,1.4997863513433446e-05,1.6616771117132955e-05,1.4997863513433445e-19,1.6616771117132955e-19,1.1079425481002323
Candidate_0,3.4372,1.4163999999999994,1.7186,0.3,8.091,6.0,1.2,0.45709742447694557,False,False,False,1.0,1.4997863513433446e-05,1.4998570432897149e-05,1.4997863513433445e-19,1.4998570432897148e-19,1.000047134677754
Candidate_0,3.4372,1.4163999999999994,1.7186,0.3,8.091,6.0,1.4,1046.7932121159727,False,False,False,1.0,1.4997863513433446e-05,1.4997863822120073e-05,1.4997863513433445e-19,1.4997863822120073e-19,1.00000002058204
Candidate_0,3.4372,1.4163999999999994,1.7186,0.3,8.091,6.0,1.6,1974.0982883137592,False,False,False,1.0,1.4997863513433446e-05,1.4997863513568237e-05,1.4997863513433445e-19,1.4997863513568238e-19,1.0000000000089875
Candidate_1,3.6078,1.7573,1.8039,0.3,7.897,4.0,0.8,8.715745234967825e-08,False,False,False,1.0,3.7009284010094583,3.836456913288236,3.700928401009458e-14,3.8364569132882355e-14,1.0366201389472467
Candidate_1,3.6078,1.7573,1.8039,0.3,7.897,4.0,1.0,0.00019959821390235478,False,False,False,1.0,3.7009284010094583,3.700987581498201,3.700928401009458e-14,3.700987581498201e-14,1.0000159907143102
Candidate_1,3.6078,1.7573,1.8039,0.3,7.897,4.0,1.2,0.45709742447694557,False,False,False,1.0,3.7009284010094583,3.700928426851476,3.700928401009458e-14,3.700928426851476e-14,1.0000000069825772
Candidate_1,3.6078,1.7573,1.8039,0.3,7.897,4.0,1.4,1046.7932121159727,False,False,False,1.0,3.7009284010094583,3.7009284010207426,3.700928401009458e-14,3.7009284010207426e-14,1.0000000000030491
Candidate_1,3.6078,1.7573,1.8039,0.3,7.897,4.0,1.6,2397248.311311276,False,False,False,1.0,3.7009284010094583,3.700928401009463,3.700928401009458e-14,3.700928401009463e-14,1.0000000000000013
Candidate_1,3.6078,1.7573,1.8039,0.3,7.897,4.5,0.8,8.715745234967825e-08,False,False,False,1.0,0.11872493374747672,0.16556514624022528,1.1872493374747673e-15,1.6556514624022528e-15,1.394527173141034
Candidate_1,3.6078,1.7573,1.8039,0.3,7.897,4.5,1.0,0.00019959821390235478,False,False,False,1.0,0.11872493374747672,0.11874538720499304,1.1872493374747673e-15,1.1874538720499305e-15,1.0001722760069913
Candidate_1,3.6078,1.7573,1.8039,0.3,7.897,4.5,1.2,0.45709742447694557,False,False,False,1.0,0.11872493374747672,0.11872494267877533,1.1872493374747673e-15,1.1872494267877533e-15,1.0000000752268148
Candidate_1,3.6078,1.7573,1.8039,0.3,7.897,4.5,1.4,1046.7932121159727,False,False,False,1.0,0.11872493374747672,0.1187249337513767,1.1872493374747673e-15,1.187249337513767e-15,1.0000000000328488
Candidate_1,3.6078,1.7573,1.8039,0.3,7.897,4.5,1.6,2397248.311311276,False,False,False,1.0,0.11872493374747672,0.11872493374747843,1.1872493374747673e-15,1.1872493374747843e-15,1.0000000000000144
Candidate_1,3.6078,1.7573,1.8039,0.3,7.897,5.0,0.8,8.715745234967825e-08,False,False,False,1.0,0.0039038471007474544,0.022861920557612117,3.9038471007474544e-17,2.286192055761212e-16,5.856254091825173
Candidate_1,3.6078,1.7573,1.8039,0.3,7.897,5.0,1.0,0.00019959821390235478,False,False,False,1.0,0.0039038471007474544,0.003912125418231631,3.9038471007474544e-17,3.9121254182316315e-17,1.002120553718047
Candidate_1,3.6078,1.7573,1.8039,0.3,7.897,5.0,1.2,0.45709742447694557,False,False,False,1.0,0.0039038471007474544,0.0039038507155947397,3.9038471007474544e-17,3.9038507155947394e-17,1.0000009259705085
Candidate_1,3.6078,1.7573,1.8039,0.3,7.897,5.0,1.4,1046.7932121159727,False,False,False,1.0,0.0039038471007474544,0.00390384710232593,3.9038471007474544e-17,3.90384710232593e-17,1.0000000004043386
Candidate_1,3.6078,1.7573,1.8039,0.3,7.897,5.0,1.6,2397248.311311276,False,False,False,1.0,0.0039038471007474544,0.0039038471007481436,3.9038471007474544e-17,3.9038471007481435e-17,1.0000000000001765
Candidate_1,3.6078,1.7573,1.8039,0.3,7.897,5.5,0.8,8.715745234967825e-08,True,False,False,1.0,0.00013096304039834664,0.00879677881350934,1.3096304039834664e-18,8.79677881350934e-17,67.1699342558971
Candidate_1,3.6078,1.7573,1.8039,0.3,7.897,5.5,1.0,0.00019959821390235478,False,False,False,1.0,0.00013096304039834664,0.00013474709442643282,1.3096304039834664e-18,1.3474709442643282e-18,1.0288940606187542
Candidate_1,3.6078,1.7573,1.8039,0.3,7.897,5.5,1.2,0.45709742447694557,False,False,False,1.0,0.00013096304039834664,0.0001309646927603703,1.3096304039834664e-18,1.309646927603703e-18,1.0000126170102543
Candidate_1,3.6078,1.7573,1.8039,0.3,7.897,5.5,1.4,1046.7932121159727,False,False,False,1.0,0.00013096304039834664,0.00013096304111987446,1.3096304039834664e-18,1.3096304111987446e-18,1.0000000055094003
Candidate_1,3.6078,1.7573,1.8039,0.3,7.897,5.5,1.6,2397248.311311276,False,False,False,1.0,0.00013096304039834664,0.0001309630403986617,1.3096304039834664e-18,1.309630403986617e-18,1.0000000000024059
Candidate_1,3.6078,1.7573,1.8039,0.3,7.897,6.0,0.8,8.715745234967825e-08,True,False,False,1.0,4.466881261173993e-06,0.004365383570638214,4.4668812611739936e-20,4.365383570638214e-17,977.2777281057381
Candidate_1,3.6078,1.7573,1.8039,0.3,7.897,6.0,1.0,0.00019959821390235478,False,False,False,1.0,4.466881261173993e-06,6.37113872482663e-06,4.4668812611739936e-20,6.37113872482663e-20,1.426305816589393
Candidate_1,3.6078,1.7573,1.8039,0.3,7.897,6.0,1.2,0.45709742447694557,False,False,False,1.0,4.466881261173993e-06,4.467712782788866e-06,4.4668812611739936e-20,4.467712782788866e-20,1.0001861526121367
Candidate_1,3.6078,1.7573,1.8039,0.3,7.897,6.0,1.4,1046.7932121159727,False,False,False,1.0,4.466881261173993e-06,4.466881624269955e-06,4.4668812611739936e-20,4.4668816242699554e-20,1.0000000812862355
Candidate_1,3.6078,1.7573,1.8039,0.3,7.897,6.0,1.6,2397248.311311276,False,False,False,1.0,4.466881261173993e-06,4.466881261332544e-06,4.4668812611739936e-20,4.4668812613325445e-20,1.0000000000354947
Candidate_2,3.9824,1.9616,1.9912,0.3,7.517,4.0,0.8,8.715745234967825e-08,False,False,False,1.0,0.7141873892384667,0.9190193035349972,7.141873892384667e-15,9.190193035349972e-15,1.286804160060767
Candidate_2,3.9824,1.9616,1.9912,0.3,7.517,4.0,1.0,0.00019959821390235478,False,False,False,1.0,0.7141873892384667,0.7142768320619317,7.141873892384667e-15,7.142768320619318e-15,1.000125237192385
Candidate_2,3.9824,1.9616,1.9912,0.3,7.517,4.0,1.2,0.45709742447694557,False,False,False,1.0,0.7141873892384667,0.7141874282949716,7.141873892384667e-15,7.141874282949717e-15,1.0000000546866348
Candidate_2,3.9824,1.9616,1.9912,0.3,7.517,4.0,1.4,1046.7932121159727,False,False,False,1.0,0.7141873892384667,0.7141873892555213,7.141873892384667e-15,7.141873892555212e-15,1.0000000000238798
Candidate_2,3.9824,1.9616,1.9912,0.3,7.517,4.0,1.6,2397248.311311276,False,False,False,1.0,0.7141873892384667,0.7141873892384741,7.141873892384667e-15,7.141873892384741e-15,1.0000000000000104
Candidate_2,3.9824,1.9616,1.9912,0.3,7.517,4.5,0.8,8.715745234967825e-08,False,False,False,1.0,0.018343924193929512,0.0874836481780338,1.8343924193929511e-16,8.748364817803379e-16,4.769080337073375
Candidate_2,3.9824,1.9616,1.9912,0.3,7.517,4.5,1.0,0.00019959821390235478,False,False,False,1.0,0.018343924193929512,0.018374115056266398,1.8343924193929511e-16,1.8374115056266398e-16,1.0016458235444996
Candidate_2,3.9824,1.9616,1.9912,0.3,7.517,4.5,1.2,0.45709742447694557,False,False,False,1.0,0.018343924193929512,0.018343937377207027,1.8343924193929511e-16,1.8343937377207028e-16,1.0000007186726991
Candidate_2,3.9824,1.9616,1.9912,0.3,7.517,4.5,1.4,1046.7932121159727,False,False,False,1.0,0.018343924193929512,0.018343924199686182,1.8343924193929511e-16,1.8343924199686182e-16,1.000000000313819
Candidate_2,3.9824,1.9616,1.9912,0.3,7.517,4.5,1.6,2397248.311311276,False,False,False,1.0,0.018343924193929512,0.018343924193932028,1.8343924193929511e-16,1.8343924193932028e-16,1.0000000000001372
Candidate_2,3.9824,1.9616,1.9912,0.3,7.517,5.0,0.8,8.715745234967825e-08,True,False,False,1.0,0.00048291047705510356,0.027912851979923776,4.829104770551036e-18,2.7912851979923774e-16,57.80129714754298
Candidate_2,3.9824,1.9616,1.9912,0.3,7.517,5.0,1.0,0.00019959821390235478,False,False,False,1.0,0.00048291047705510356,0.000494888158481954,4.829104770551036e-18,4.94888158481954e-18,1.0248031094705028
Candidate_2,3.9824,1.9616,1.9912,0.3,7.517,5.0,1.2,0.45709742447694557,False,False,False,1.0,0.00048291047705510356,0.00048291570728325946,4.829104770551036e-18,4.8291570728325945e-18,1.0000108306371562
Candidate_2,3.9824,1.9616,1.9912,0.3,7.517,5.0,1.4,1046.7932121159727,False,False,False,1.0,0.00048291047705510356,0.00048291047933895847,4.829104770551036e-18,4.829104793389585e-18,1.0000000047293547
Candidate_2,3.9824,1.9616,1.9912,0.3,7.517,5.0,1.6,2397248.311311276,False,False,False,1.0,0.00048291047705510356,0.00048291047705610086,4.829104770551036e-18,4.829104770561009e-18,1.0000000000020652
Candidate_2,3.9824,1.9616,1.9912,0.3,7.517,5.5,0.8,8.715745234967825e-08,True,False,False,1.0,1.2969865967141257e-05,0.012337605919015303,1.2969865967141257e-19,1.2337605919015302e-16,951.2516127978681
Candidate_2,3.9824,1.9616,1.9912,0.3,7.517,5.5,1.0,0.00019959821390235478,False,False,False,1.0,1.2969865967141257e-05,1.835159688807108e-05,1.2969865967141257e-19,1.8351596888071082e-19,1.4149411362125306
Candidate_2,3.9824,1.9616,1.9912,0.3,7.517,5.5,1.2,0.45709742447694557,False,False,False,1.0,1.2969865967141257e-05,1.297221597793108e-05,1.2969865967141257e-19,1.297221597793108e-19,1.0001811900597721
Candidate_2,3.9824,1.9616,1.9912,0.3,7.517,5.5,1.4,1046.7932121159727,False,False,False,1.0,1.2969865967141257e-05,1.296986699330752e-05,1.2969865967141257e-19,1.296986699330752e-19,1.0000000791192651
Candidate_2,3.9824,1.9616,1.9912,0.3,7.517,5.5,1.6,2397248.311311276,False,False,False,1.0,1.2969865967141257e-05,1.2969865967589348e-05,1.2969865967141257e-19,1.2969865967589347e-19,1.0000000000345486
Candidate_2,3.9824,1.9616,1.9912,0.3,7.517,6.0,0.8,8.715745234967825e-08,True,False,False,1.0,3.5416015948627064e-07,0.006110200579482847,3.5416015948627065e-21,6.110200579482847e-17,17252.648034567294
Candidate_2,3.9824,1.9616,1.9912,0.3,7.517,6.0,1.0,0.00019959821390235478,False,False,False,1.0,3.5416015948627064e-07,3.0221131323347195e-06,3.5416015948627065e-21,3.0221131323347196e-20,8.533182096818754
Candidate_2,3.9824,1.9616,1.9912,0.3,7.517,6.0,1.2,0.45709742447694557,False,False,False,1.0,3.5416015948627064e-07,3.553251598114538e-07,3.5416015948627065e-21,3.553251598114538e-21,1.0032894731210678
Candidate_2,3.9824,1.9616,1.9912,0.3,7.517,6.0,1.4,1046.7932121159727,False,False,False,1.0,3.5416015948627064e-07,3.541606682005439e-07,3.5416015948627065e-21,3.541606682005439e-21,1.000001436396104
Candidate_2,3.9824,1.9616,1.9912,0.3,7.517,6.0,1.6,2397248.311311276,False,False,False,1.0,3.5416015948627064e-07,3.541601597084081e-07,3.5416015948627065e-21,3.541601597084081e-21,1.0000000006272232
Candidate_3,3.4372,1.4721999999999995,1.7186,0.3,8.091,4.0,0.8,8.715745234967825e-08,False,False,False,1.0,8.11359024620748,8.224681979823208,8.11359024620748e-14,8.224681979823208e-14,1.013692056197644
Candidate_3,3.4372,1.4721999999999995,1.7186,0.3,8.091,4.0,1.0,0.00019959821390235478,False,False,False,1.0,8.11359024620748,8.113638756022722,8.11359024620748e-14,8.113638756022721e-14,1.0000059788347415
Candidate_3,3.4372,1.4721999999999995,1.7186,0.3,8.091,4.0,1.2,0.45709742447694557,False,False,False,1.0,8.11359024620748,8.113590267389993,8.11359024620748e-14,8.113590267389993e-14,1.0000000026107447
Candidate_3,3.4372,1.4721999999999995,1.7186,0.3,8.091,4.0,1.4,1046.7932121159727,False,False,False,1.0,8.11359024620748,8.113590246216729,8.11359024620748e-14,8.113590246216729e-14,1.00000000000114
Candidate_3,3.4372,1.4721999999999995,1.7186,0.3,8.091,4.0,1.6,17091.001583641195,False,False,False,1.0,8.11359024620748,8.113590246207483,8.11359024620748e-14,8.113590246207483e-14,1.0000000000000004
Candidate_3,3.4372,1.4721999999999995,1.7186,0.3,8.091,4.5,0.8,8.715745234967825e-08,False,False,False,1.0,0.2895441426571117,0.3283778011950036,2.895441426571117e-15,3.283778011950036e-15,1.1341199935233366
Candidate_3,3.4372,1.4721999999999995,1.7186,0.3,8.091,4.5,1.0,0.00019959821390235478,False,False,False,1.0,0.2895441426571117,0.2895610999368258,2.895441426571117e-15,2.8956109993682584e-15,1.0000585654386185
Candidate_3,3.4372,1.4721999999999995,1.7186,0.3,8.091,4.5,1.2,0.45709742447694557,False,False,False,1.0,0.2895441426571117,0.2895441500617536,2.895441426571117e-15,2.895441500617536e-15,1.0000000255734474
Candidate_3,3.4372,1.4721999999999995,1.7186,0.3,8.091,4.5,1.4,1046.7932121159727,False,False,False,1.0,0.2895441426571117,0.28954414266034506,2.895441426571117e-15,2.8954414266034506e-15,1.000000000011167
Candidate_3,3.4372,1.4721999999999995,1.7186,0.3,8.091,4.5,1.6,17091.001583641195,False,False,False,1.0,0.2895441426571117,0.2895441426571131,2.895441426571117e-15,2.895441426571131e-15,1.0000000000000049
Candidate_3,3.4372,1.4721999999999995,1.7186,0.3,8.091,5.0,0.8,8.715745234967825e-08,False,False,False,1.0,0.01059122984734619,0.026460661511661265,1.059122984734619e-16,2.6460661511661267e-16,2.4983558937956034
Candidate_3,3.4372,1.4721999999999995,1.7186,0.3,8.091,5.0,1.0,0.00019959821390235478,False,False,False,1.0,0.01059122984734619,0.010598159464636131,1.059122984734619e-16,1.059815946463613e-16,1.0006542788127364
Candidate_3,3.4372,1.4721999999999995,1.7186,0.3,8.091,5.0,1.2,0.45709742447694557,False,False,False,1.0,0.01059122984734619,0.010591232873263993,1.059122984734619e-16,1.0591232873263994e-16,1.0000002857003243
Candidate_3,3.4372,1.4721999999999995,1.7186,0.3,8.091,5.0,1.4,1046.7932121159727,False,False,False,1.0,0.01059122984734619,0.010591229848667501,1.059122984734619e-16,1.0591229848667501e-16,1.0000000001247553
Candidate_3,3.4372,1.4721999999999995,1.7186,0.3,8.091,5.0,1.6,17091.001583641195,False,False,False,1.0,0.01059122984734619,0.010591229847346768,1.059122984734619e-16,1.0591229847346768e-16,1.0000000000000546
Candidate_3,3.4372,1.4721999999999995,1.7186,0.3,8.091,5.5,0.8,8.715745234967825e-08,True,False,False,1.0,0.000395263967320186,0.007709531473111821,3.95263967320186e-18,7.70953147311182e-17,19.504766714206124
Candidate_3,3.4372,1.4721999999999995,1.7186,0.3,8.091,5.5,1.0,0.00019959821390235478,False,False,False,1.0,0.000395263967320186,0.0003984578482129314,3.95263967320186e-18,3.984578482129314e-18,1.008080374526419
Candidate_3,3.4372,1.4721999999999995,1.7186,0.3,8.091,5.5,1.2,0.45709742447694557,False,False,False,1.0,0.000395263967320186,0.0003952653619745583,3.95263967320186e-18,3.952653619745583e-18,1.0000035284126245
