Formula,MP_ID,Eg_bulk_eV,CBM_bulk_eV,VBM_bulk_eV,Formation_Energy_eV,Dielectric_Static,Dielectric_Source,Eg_nano_3nm_eV
Al2Pb3F12,mp-14941,5.2252,6.3292,1.104,-3.2456635836764707,9.2409,Penn_Model_Calculated,5.39356415631842
Al2PbO4,mp-21892,3.9433,6.7352,2.7919,-2.8937835900000146,18.512909993333334,MP_DFPT_API,4.158126052511404
Al2PbS4,mp-1103722,2.5904,5.7401,3.1497,-1.233530308571437,42.76460659666666,MP_DFPT_API,2.8314860666109243
Al2PbSe4,mp-675374,1.9961000000000002,4.6516,2.6555,-0.9435391144642844,57.47,Penn_Model_Calculated,2.242315424103265
Al2PdCl8,mp-27452,1.6806,-0.117,-1.7976,-1.676674889999999,3.50831252,MP_DFPT_API,1.697381279063197
Al2S3,mp-1228491,3.0435746359539815,6.3455439999704994,3.301969364016518,-1.2369562236874998,25.2893,Penn_Model_Calculated,3.2708086058922117
Al2Se3,mp-11674,1.8040000000000003,4.519,2.715,-1.008823536437501,9.354686643365255,MP_DFPT_API,1.973492547726384
Al2Si(O2F)2,mp-6280,5.706199999999999,9.2411,3.5349,-3.529615748611111,7.9102,Penn_Model_Calculated,5.858958198762357
Al2Si2PbO8,mp-1195073,4.261250911072367,6.112250367386924,1.8509994563145569,-3.1053062625961534,13.3911,Penn_Model_Calculated,4.458365904997883
Al2Si3H8(NO5)2,mp-706243,4.576099999999999,4.8111,0.235,-2.1697174975000006,11.7446,Penn_Model_Calculated,4.764240308165202
Al2SiO5,mp-5065,5.4454,10.2469,4.8015,-3.3768698634375003,8.5879,Penn_Model_Calculated,5.606710343493824
Al2Te2Cl7,mp-540629,1.4057,0.9698,-0.4359,-1.5805691443939403,114.8668,Penn_Model_Calculated,1.659368987674625
Al2Te3,mp-29502,2.2383000000000006,5.363,3.1247,-0.5590248137499998,45.9103,Penn_Model_Calculated,2.4807595827888753
Al2Te5,mp-9254,1.0460999999999996,4.6118,3.5657,-0.4019399971428551,18.621158280021096,MP_DFPT_API,1.2611952380032911
Al2VCl8,mp-568443,0.8418000000000001,2.6147,1.7729,-1.8714866172727278,3.117802056666667,MP_DFPT_API,0.8418000000000001
Al2ZnO4,mp-2908,3.8459999999999996,7.8218,3.9758,-3.0210726285714293,9.281930786666607,MP_DFPT_API,4.014774236939636
Al2ZnS4,mp-4842,2.4934000000000003,6.6596,4.1662,-1.1905034680357136,11.486136013333313,MP_DFPT_API,2.679897829059942
Al2ZnSe4,mp-7907,2.1529,4.111,1.9581,-1.1007739499107134,9.178696063337346,MP_DFPT_API,2.3206354691302207
Al2ZnTe4,mp-7908,1.6274000000000002,5.1509,3.5235,-0.704937983809523,10.852307156670932,MP_DFPT_API,1.8095388179583263
Al3BC3,mp-1228599,2.0981999999999994,8.0673,5.9691,-0.23713364392857206,52.108,Penn_Model_Calculated,2.342880477728717
Al3Tl4Fe(As2O7)4,mp-1229069,2.7875,4.4028,1.6153,-1.9299713141666681,29.9569,Penn_Model_Calculated,3.0200156483245166
Al4(B2O5)3,mp-31408,5.8127,7.5178,1.7051,-3.0834730528,5.81064330665891,MP_DFPT_API,5.926299529493924
Al4B2O9,mp-1229135,4.9982,8.1121,3.1139,-3.264206385222222,10.0065,Penn_Model_Calculated,5.173661853292891
Al4Bi2O9,mp-23426,2.7654000000000005,7.1824,4.417,-2.857885393999998,30.4216,Penn_Model_Calculated,2.9983527734303475
Al4C3,mp-1591,1.3163999999999998,8.6175,7.3011,-0.23825637285714305,17.828700309990722,MP_DFPT_API,1.5294489730760588
Al4CO4,mp-13703,3.8232999999999997,6.9815,3.1582,-2.594719617222223,6.25285082,MP_DFPT_API,3.9473331691266407
Al4CdO7,mp-1190488,3.0642,5.2192,2.155,-3.094281680416666,10.144908426666667,MP_DFPT_API,3.240830664051058
Al4Fe2Si5O18,mp-1204107,3.8626999999999994,5.3157,1.453,-3.1046468531034495,16.08,Penn_Model_Calculated,4.070519936770505
Al4InAgSe8,mp-1228721,1.1564,3.9272,2.7708,-0.9935458812202381,150.0,Penn_Model_Calculated,1.4118169977268191
Al5BO9,mp-3281,4.9384999999999994,7.3986,2.4601,-3.3666107872777786,6.8018227,MP_DFPT_API,5.073598355261415
Al5CuS8,mp-35267,1.4217000000000004,7.1241,5.7024,-1.1671159744642858,11.59311484333332,MP_DFPT_API,1.6088865380473651
Al6B5(O5F)3,mp-6738,6.114699999999999,8.9117,2.797,-3.2722042729597693,7.0177,Penn_Model_Calculated,6.253675382669832
Al6Cd4SO12,mp-9203,2.7127,3.1755,0.4628,-2.7123131624999988,7.003835766666668,MP_DFPT_API,2.851433571083611
Al6Cd4TeO12,mp-9535,2.5652,3.3805,0.8153,-2.6822620276811593,7.381482936666667,MP_DFPT_API,2.7101956517822634
Al6SnTe10,mp-530331,1.4355999999999995,5.294,3.8584,-0.6946291857843132,110.1731,Penn_Model_Calculated,1.6889510388416193
Al7(TlS4)3,mp-28759,2.7930000000000006,5.4118,2.6188,-1.2624896618181827,29.843,Penn_Model_Calculated,3.025406429782477
Al7Cr(Bi2O9)2,mp-1228228,2.5549560403264584,7.016043853131416,4.461087812804958,-2.767509591666667,35.468,Penn_Model_Calculated,2.7919181725222573
Al8(Pb3O7)3,mp-13875,2.8716,6.6177,3.7461,-2.5211375953289474,28.2857,Penn_Model_Calculated,3.1024249091097422
AlAg(PSe3)2,mp-1228964,1.6206273473282033,4.218925072550901,2.5982977252226975,-0.5870029005014878,11.3104394,MP_DFPT_API,1.805965806656599
